name,department,dept_name,state,EOW,cause,location,year
Captain William Thompson,"New York State Office of Court Administration, NY",New York State Office of Court Administration,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Chief James Romito,"Port Authority of New York and New Jersey Police Department, NY",Port Authority of New York and New Jersey Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Senior Court Officer Thomas Jurgens,"New York State Office of Court Administration, NY",New York State Office of Court Administration,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Senior Court Officer Mitchel Scott Wallace,"New York State Office of Court Administration, NY",New York State Office of Court Administration,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Detective Claude Daniel Richards,"New York City Police Department, NY",New York City Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Detective Joseph Vincent Vigiano,"New York City Police Department, NY",New York City Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Director of Public Safety Fred V. Morrone,"Port Authority of New York and New Jersey Police Department, NY",Port Authority of New York and New Jersey Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Inspector Anthony Infante,"Port Authority of New York and New Jersey Police Department, NY",Port Authority of New York and New Jersey Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Investigator Clyde Frazier,"New York State Office of Tax Enforcement - Revenue Crimes Bureau, NY",New York State Office of Tax Enforcement - Revenue Crimes Bureau,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Investigator Salvatore Papasso,"New York State Office of Tax Enforcement - Revenue Crimes Bureau, NY",New York State Office of Tax Enforcement - Revenue Crimes Bureau,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Investigator Richard Moore,"New York State Office of Tax Enforcement - Revenue Crimes Bureau, NY",New York State Office of Tax Enforcement - Revenue Crimes Bureau,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Lieutenant Robert Cirri,"Port Authority of New York and New Jersey Police Department, NY",Port Authority of New York and New Jersey Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Master Special Officer Craig J. Miller,"United States Department of the Treasury - United States Secret Service Special Services Division, US",United States Department of the Treasury - United States Secret Service Special Services Division,US,2001-09-11,Cause of Death: Terrorist attack,Location: New York,2001
Police Officer George Howard,"Port Authority of New York and New Jersey Police Department, NY",Port Authority of New York and New Jersey Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Police Officer Christopher Amoroso,"Port Authority of New York and New Jersey Police Department, NY",Port Authority of New York and New Jersey Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Police Officer Maurice Barry,"Port Authority of New York and New Jersey Police Department, NY",Port Authority of New York and New Jersey Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Police Officer Liam Callahan,"Port Authority of New York and New Jersey Police Department, NY",Port Authority of New York and New Jersey Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Police Officer Clinton Davis,"Port Authority of New York and New Jersey Police Department, NY",Port Authority of New York and New Jersey Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Police Officer Donald Foreman,"Port Authority of New York and New Jersey Police Department, NY",Port Authority of New York and New Jersey Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Police Officer Gregg Froehner,"Port Authority of New York and New Jersey Police Department, NY",Port Authority of New York and New Jersey Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Police Officer Thomas Gorman,"Port Authority of New York and New Jersey Police Department, NY",Port Authority of New York and New Jersey Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Police Officer Uhuru Gonja Houston,"Port Authority of New York and New Jersey Police Department, NY",Port Authority of New York and New Jersey Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
"Police Officer Stephen Huczko, Jr.","Port Authority of New York and New Jersey Police Department, NY",Port Authority of New York and New Jersey Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Police Officer Paul Jurgens,"Port Authority of New York and New Jersey Police Department, NY",Port Authority of New York and New Jersey Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Police Officer Paul Laszczynski,"Port Authority of New York and New Jersey Police Department, NY",Port Authority of New York and New Jersey Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Police Officer David P. LeMagne,"Port Authority of New York and New Jersey Police Department, NY",Port Authority of New York and New Jersey Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Police Officer John Lennon,"Port Authority of New York and New Jersey Police Department, NY",Port Authority of New York and New Jersey Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Police Officer John Levi,"Port Authority of New York and New Jersey Police Department, NY",Port Authority of New York and New Jersey Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Police Officer James Lynch,"Port Authority of New York and New Jersey Police Department, NY",Port Authority of New York and New Jersey Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Police Officer Donald McIntyre,"Port Authority of New York and New Jersey Police Department, NY",Port Authority of New York and New Jersey Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Police Officer Walter McNeil,"Port Authority of New York and New Jersey Police Department, NY",Port Authority of New York and New Jersey Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Police Officer Joseph Navas,"Port Authority of New York and New Jersey Police Department, NY",Port Authority of New York and New Jersey Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Police Officer James Nelson,"Port Authority of New York and New Jersey Police Department, NY",Port Authority of New York and New Jersey Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Police Officer Alfonse Niedermeyer,"Port Authority of New York and New Jersey Police Department, NY",Port Authority of New York and New Jersey Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Police Officer James Parham,"Port Authority of New York and New Jersey Police Department, NY",Port Authority of New York and New Jersey Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Police Officer Bruce Reynolds,"Port Authority of New York and New Jersey Police Department, NY",Port Authority of New York and New Jersey Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Police Officer Antonio Rodrigues,"Port Authority of New York and New Jersey Police Department, NY",Port Authority of New York and New Jersey Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Police Officer Richard Rodriguez,"Port Authority of New York and New Jersey Police Department, NY",Port Authority of New York and New Jersey Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Police Officer John Skala,"Port Authority of New York and New Jersey Police Department, NY",Port Authority of New York and New Jersey Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Police Officer Walwyn Stuart,"Port Authority of New York and New Jersey Police Department, NY",Port Authority of New York and New Jersey Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Police Officer Kenneth Tietjen,"Port Authority of New York and New Jersey Police Department, NY",Port Authority of New York and New Jersey Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Police Officer Nathaniel Webb,"Port Authority of New York and New Jersey Police Department, NY",Port Authority of New York and New Jersey Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Police Officer Michael Wholey,"Port Authority of New York and New Jersey Police Department, NY",Port Authority of New York and New Jersey Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Police Officer Glen Kerrin Pettit,"New York City Police Department, NY",New York City Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Police Officer Mark Joseph Ellis,"New York City Police Department, NY",New York City Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Police Officer Ramon Suarez,"New York City Police Department, NY",New York City Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Police Officer James Patrick Leahy,"New York City Police Department, NY",New York City Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Police Officer Moira Ann Reddy-Smith,"New York City Police Department, NY",New York City Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
"Police Officer Robert Fazio, Jr.","New York City Police Department, NY",New York City Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Police Officer John William Perry,"New York City Police Department, NY",New York City Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Police Officer Walter Edward Weaver,"New York City Police Department, NY",New York City Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Police Officer Vincent G. Danz,"New York City Police Department, NY",New York City Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Police Officer Jerome Mark Patrick Dominguez,"New York City Police Department, NY",New York City Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Police Officer John D'Allara,"New York City Police Department, NY",New York City Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Police Officer Thomas Michael Langone,"New York City Police Department, NY",New York City Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Police Officer Ronald Philip Kloepfer,"New York City Police Department, NY",New York City Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
"Police Officer Santos Valentin, Jr.","New York City Police Department, NY",New York City Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Police Officer Stephen Patrick Driscoll,"New York City Police Department, NY",New York City Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Police Officer Paul Talty,"New York City Police Department, NY",New York City Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Police Officer Brian Grady McDonnell,"New York City Police Department, NY",New York City Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Police Officer Dominick Pezzulo,"Port Authority of New York and New Jersey Police Department, NY",Port Authority of New York and New Jersey Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Sergeant Robert Kaulfers,"Port Authority of New York and New Jersey Police Department, NY",Port Authority of New York and New Jersey Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Sergeant Rodney C. Gillis,"New York City Police Department, NY",New York City Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Sergeant Michael Sean Curtin,"New York City Police Department, NY",New York City Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Sergeant John Gerard Coughlin,"New York City Police Department, NY",New York City Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
"Sergeant Timothy Alan Roy, Sr.","New York City Police Department, NY",New York City Police Department,NY,2001-09-11,Cause of Death: Terrorist attack,NA,2001
Special Agent Leonard Hatton,"United States Department of Justice - Federal Bureau of Investigation, US",United States Department of Justice - Federal Bureau of Investigation,US,2001-09-11,Cause of Death: Terrorist attack,Location: New York,2001
Refuge Manager Richard Jerry Guadagno,"United States Department of the Interior - Fish and Wildlife Service - Division of Refuge Law Enforcement, US",United States Department of the Interior - Fish and Wildlife Service - Division of Refuge Law Enforcement,US,2001-09-11,Cause of Death: Terrorist attack,Location: Pennsylvania,2001
Deputy Sheriff Donald Kenneth Bond,"Hamilton County Sheriff's Office, TN",Hamilton County Sheriff's Office,TN,2001-09-06,Cause of Death: Gunfire,NA,2001
Police Officer Jason Alan Hoerauf,"Albany Police Department, OR",Albany Police Department,OR,2001-09-04,Cause of Death: Struck by vehicle,NA,2001
Senior Trooper Maria Mignano,"Oregon State Police, OR",Oregon State Police,OR,2001-09-04,Cause of Death: Struck by vehicle,NA,2001
District Wildlife Manager Philip K. Mason,"Colorado Department of Natural Resources - Wildlife Division, CO",Colorado Department of Natural Resources - Wildlife Division,CO,2001-09-03,Cause of Death: Accidental,NA,2001
Deputy Sheriff Hagop Jake Kuredjian,"Los Angeles County Sheriff's Department, CA",Los Angeles County Sheriff's Department,CA,2001-08-31,Cause of Death: Gunfire,NA,2001
"Detective Corporal Louis William Donald, Jr.","Gary Police Department, IN",Gary Police Department,IN,2001-08-27,Cause of Death: Vehicle pursuit,NA,2001
Police Officer Terry McDowell,"Whitehall Police Department, OH",Whitehall Police Department,OH,2001-08-24,Cause of Death: Gunfire,NA,2001
Police Officer John C. Bohach,"Reno Police Department, NV",Reno Police Department,NV,2001-08-22,Cause of Death: Gunfire,NA,2001
Deputy Sheriff Erik Jon Telen,"Fresno County Sheriff's Office, CA",Fresno County Sheriff's Office,CA,2001-08-21,Cause of Death: Gunfire,NA,2001
Police Officer Eric D. Lee,"Chicago Police Department, IL",Chicago Police Department,IL,2001-08-19,Cause of Death: Gunfire,NA,2001
Police Officer Richard Eugene Perkins,"Bishop Police Department, CA",Bishop Police Department,CA,2001-08-15,Cause of Death: Automobile crash,NA,2001
Senior Deputy Michael Benjamin Meyer,"Yuma County Sheriff's Office, AZ",Yuma County Sheriff's Office,AZ,2001-08-13,Cause of Death: Automobile crash,NA,2001
"Officer Stephen Michael Linen, Jr.","California Highway Patrol, CA",California Highway Patrol,CA,2001-08-12,Cause of Death: Vehicular assault,NA,2001
Chief of Police James Richard Dacy,"Pierce City Police Department, MO",Pierce City Police Department,MO,2001-08-08,Cause of Death: Gunfire (Inadvertent),NA,2001
Detective David L. Taylor,"Greensboro Police Department, NC",Greensboro Police Department,NC,2001-08-07,Cause of Death: Heatstroke,NA,2001
Sergeant Joseph Dan Adams,"Lehi Police Department, UT",Lehi Police Department,UT,2001-08-04,Cause of Death: Gunfire,NA,2001
"Detective Kevin Darrell Rice, Sr.","Rockford Police Department, IL",Rockford Police Department,IL,2001-08-03,Cause of Death: Gunfire,NA,2001
Chief of Police Luis M. Castillo,"Jal Police Department, NM",Jal Police Department,NM,2001-08-03,Cause of Death: Automobile crash,NA,2001
Game Warden Michael Charles Pauling,"Texas Parks and Wildlife Department - Law Enforcement Division, TX",Texas Parks and Wildlife Department - Law Enforcement Division,TX,2001-08-02,Cause of Death: Vehicular assault,NA,2001
"Patrolman Lloyd R. Aragon, Sr.","New Mexico State Police, NM",New Mexico State Police,NM,2001-08-01,Cause of Death: Vehicular assault,NA,2001
Chief Deputy Willie Perry,"Leake County Sheriff's Office, MS",Leake County Sheriff's Office,MS,2001-07-29,Cause of Death: Struck by vehicle,NA,2001
Deputy Sheriff William Robert Hunter,"Butte County Sheriff's Office, CA",Butte County Sheriff's Office,CA,2001-07-26,Cause of Death: Gunfire,NA,2001
Lieutenant Leonard Bruce Estes,"Butte County Sheriff's Office, CA",Butte County Sheriff's Office,CA,2001-07-26,Cause of Death: Gunfire,NA,2001
Sergeant Kevin Dale Cox,"Lubbock Police Department, TX",Lubbock Police Department,TX,2001-07-13,Cause of Death: Gunfire (Inadvertent),NA,2001
Sergeant Daniel Robert Starnes,"Morgan County Sheriff's Office, IN",Morgan County Sheriff's Office,IN,2001-07-10,Cause of Death: Gunfire,NA,2001
Patrol Officer Justin Todd Wollam,"Anchorage Police Department, AK",Anchorage Police Department,AK,2001-07-09,Cause of Death: Vehicular assault,NA,2001
Correctional Officer Ronald Owen MacDonald,"Michigan Department of Corrections, MI",Michigan Department of Corrections,MI,2001-07-08,Cause of Death: Fall,NA,2001
Patrolman Rodney Raylyn Kendricks,"Lubbock Police Department, TX",Lubbock Police Department,TX,2001-07-08,Cause of Death: Motorcycle crash,NA,2001
Officer Lois Marie Marrero,"Tampa Police Department, FL",Tampa Police Department,FL,2001-07-06,Cause of Death: Gunfire,NA,2001
Sheriff Harold Ray Presley,"Lee County Sheriff's Department, MS",Lee County Sheriff's Department,MS,2001-07-06,Cause of Death: Gunfire,NA,2001
"Police Officer Domenick J. Infantes, Jr.","Jersey City Police Department, NJ",Jersey City Police Department,NJ,2001-07-06,Cause of Death: Assault,NA,2001
Chief of Police Cecil F. Gurr,"Roosevelt Police Department, UT",Roosevelt Police Department,UT,2001-07-06,Cause of Death: Gunfire,NA,2001
Police Officer Brian Timothy Strouse,"Chicago Police Department, IL",Chicago Police Department,IL,2001-06-30,Cause of Death: Gunfire,NA,2001
Agent William Camacho-Rivera,"Puerto Rico Police Department, PR",Puerto Rico Police Department,PR,2001-06-29,Cause of Death: Vehicular assault,NA,2001
Captain Tommy F. Bernal,"Fairfax County Police Department, VA",Fairfax County Police Department,VA,2001-06-28,Cause of Death: Motorcycle crash,NA,2001
Trooper James A. Moen,"Alaska State Troopers - Fish and Wildlife Protection, AK",Alaska State Troopers - Fish and Wildlife Protection,AK,2001-06-25,Cause of Death: Aircraft accident,NA,2001
Agent Miguel F. Gomez-Guilfu,"Puerto Rico Police Department, PR",Puerto Rico Police Department,PR,2001-06-24,Cause of Death: Vehicular assault,NA,2001
Master Sergeant Stanley W. Talbot,"Illinois State Police, IL",Illinois State Police,IL,2001-06-23,Cause of Death: Vehicular assault,NA,2001
Deputy Sheriff Jimmy Bruce Graham,"Hemphill County Sheriff's Department, TX",Hemphill County Sheriff's Department,TX,2001-06-17,Cause of Death: Gunfire,NA,2001
Officer Marlon Francisco Morales,"Washington Metropolitan Area Transit Authority Police Department, DC",Washington Metropolitan Area Transit Authority Police Department,DC,2001-06-13,Cause of Death: Gunfire,NA,2001
"Sergeant William J. Collins, Jr.","Hardin County Sheriff's Department, KY",Hardin County Sheriff's Department,KY,2001-06-09,Cause of Death: Gunfire,NA,2001
Police Officer Charles Leon McDonald,"Forest Park Police Department, OH",Forest Park Police Department,OH,2001-06-09,Cause of Death: Duty related illness,NA,2001
Patrolman Denny Kyle Haslett,"Nashville Police Department, IL",Nashville Police Department,IL,2001-06-08,Cause of Death: Heart attack,NA,2001
Corporal Joseph Thomas Cushman,"Arlington Police Department, TX",Arlington Police Department,TX,2001-06-07,Cause of Death: Gunfire (Inadvertent),NA,2001
Sergeant Myron G. Deckard,"Vermilion County Sheriff's Department, IL",Vermilion County Sheriff's Department,IL,2001-06-06,Cause of Death: Gunfire,NA,2001
Deputy Sheriff Robby James Acosta,"Iberville Parish Sheriff's Department, LA",Iberville Parish Sheriff's Department,LA,2001-06-06,Cause of Death: Animal related,NA,2001
Acting Chief Daniel Carrol Dalley,"Fruita Police Department, CO",Fruita Police Department,CO,2001-06-04,Cause of Death: Motorcycle crash,NA,2001
Military Police Officer James Thomas Sakofsky,"United States Army Military Police Corps, US",United States Army Military Police Corps,US,2001-06-01,Cause of Death: Automobile crash,Location: Overseas,2001
Deputy Sheriff Haskel Gene McLane,"Madison County Sheriff's Office, AL",Madison County Sheriff's Office,AL,2001-05-31,Cause of Death: Vehicle pursuit,NA,2001
Police Officer Larry Brian Mitchell,"Gallup Police Department, NM",Gallup Police Department,NM,2001-05-30,Cause of Death: Gunfire,NA,2001
Sergeant Enrico Venditte,"Paterson Police Department, NJ",Paterson Police Department,NJ,2001-05-23,Cause of Death: Gunfire,NA,2001
Deputy Sheriff Joseph Norman Dennis,"Harris County Sheriff's Office, TX",Harris County Sheriff's Office,TX,2001-05-22,Cause of Death: Gunfire,NA,2001
"Police Officer Alberto ""Albert"" Vasquez","Houston Police Department, TX",Houston Police Department,TX,2001-05-22,Cause of Death: Gunfire,NA,2001
Sergeant Wilbur Lewis Berry,"Bulloch County Sheriff's Office, GA",Bulloch County Sheriff's Office,GA,2001-05-19,Cause of Death: Gunfire,NA,2001
Police Officer Brian Joe Ramey,"Bladenboro Police Department, NC",Bladenboro Police Department,NC,2001-05-12,Cause of Death: Vehicular assault,NA,2001
Police Officer Craig W. Schultz,"Kansas City Police Department, MO",Kansas City Police Department,MO,2001-05-09,Cause of Death: Motorcycle crash,NA,2001
Senior Trooper Richard Dale Cottle,"Texas Department of Public Safety - Texas Highway Patrol, TX",Texas Department of Public Safety - Texas Highway Patrol,TX,2001-05-09,Cause of Death: Automobile crash,NA,2001
Police Officer Ryan Jay Cunningham,"Vail Police Department, CO",Vail Police Department,CO,2001-05-06,Cause of Death: Fall,NA,2001
Deputy Sheriff Jason Patrick Lopez,"Pinal County Sheriff's Office, AZ",Pinal County Sheriff's Office,AZ,2001-05-04,Cause of Death: Gunfire,NA,2001
Officer Dannygriggs M. Padayao,"Honolulu Police Department, HI",Honolulu Police Department,HI,2001-04-30,Cause of Death: Vehicular assault,NA,2001
Lieutenant Christopher Neal Claypool,"Columbus Division of Police, OH",Columbus Division of Police,OH,2001-04-29,Cause of Death: Vehicular assault,NA,2001
Lieutenant Claton Morris Medrano,"Harrison County Sheriff's Office, TX",Harrison County Sheriff's Office,TX,2001-04-27,Cause of Death: Gunfire,NA,2001
Deputy Sheriff Loutricia Sowell Bonfanti,"Leon County Sheriff's Office, TX",Leon County Sheriff's Office,TX,2001-04-07,Cause of Death: Automobile crash,NA,2001
Investigator Sherry Elizabeth Lyons-Williams,"Atlanta Police Department, GA",Atlanta Police Department,GA,2001-04-04,Cause of Death: Gunfire,NA,2001
Police Officer Neil Keith Wells,"Detroit Police Department, MI",Detroit Police Department,MI,2001-04-04,Cause of Death: Gunfire,NA,2001
Border Patrol Agent Jason Christopher Panides,"United States Department of Justice - Immigration and Naturalization Service - United States Border Patrol, US",United States Department of Justice - Immigration and Naturalization Service - United States Border Patrol,US,2001-04-04,Cause of Death: Struck by vehicle,Location: Texas,2001
Patrolman Hector Garza,"San Antonio Police Department, TX",San Antonio Police Department,TX,2001-03-29,Cause of Death: Gunfire,NA,2001
Police Officer Creighton Travis Spencer,"United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement, US",United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement,US,2001-03-25,Cause of Death: Automobile crash,Location: Nevada,2001
Petty Officer Scott Chism,"United States Coast Guard Office of Law Enforcement, US",United States Coast Guard Office of Law Enforcement,US,2001-03-24,Cause of Death: Hypothermia,Location: New York,2001
Seaman Christopher Everett Ferreby,"United States Coast Guard Office of Law Enforcement, US",United States Coast Guard Office of Law Enforcement,US,2001-03-24,Cause of Death: Hypothermia,Location: New York,2001
Patrolman III Douglas Michael Adams,"Elkhart Police Department, IN",Elkhart Police Department,IN,2001-03-20,Cause of Death: Automobile crash,NA,2001
Sheriff E. C. Mullins,"Simpson County Sheriff's Office, MS",Simpson County Sheriff's Office,MS,2001-03-20,Cause of Death: Assault,NA,2001
Patrolman Robert J. Ventura,"Jackson Township Police Department, NJ",Jackson Township Police Department,NJ,2001-03-18,Cause of Death: Automobile crash,NA,2001
Officer Terry Eugene Foster,"Independence Police Department, MO",Independence Police Department,MO,2001-03-17,Cause of Death: Gunfire,NA,2001
Trooper John Robert Davis,"Tennessee Highway Patrol, TN",Tennessee Highway Patrol,TN,2001-03-17,Cause of Death: Automobile crash,NA,2001
"Sergeant Donald Frederick Flusche, Jr.","Dallas Police Department, TX",Dallas Police Department,TX,2001-03-17,Cause of Death: Automobile crash,NA,2001
Sergeant Gary R. Wagers,"California Highway Patrol, CA",California Highway Patrol,CA,2001-03-15,Cause of Death: Automobile crash,NA,2001
Patrolman James William Naim,"Aliquippa City Police Department, PA",Aliquippa City Police Department,PA,2001-03-15,Cause of Death: Gunfire,NA,2001
"Agent Michael Joseph Cowdery, Jr.","Baltimore City Police Department, MD",Baltimore City Police Department,MD,2001-03-13,Cause of Death: Gunfire,NA,2001
Police Officer Wilfredo Monserrate-Rivera,"Puerto Rico Police Department, PR",Puerto Rico Police Department,PR,2001-03-13,Cause of Death: Gunfire,NA,2001
Police Officer Jose A. Torres-Rodriquez,"Puerto Rico Police Department, PR",Puerto Rico Police Department,PR,2001-03-11,Cause of Death: Gunfire,NA,2001
Master Police Officer Steven J. Underwood,"Des Moines Police Department, WA",Des Moines Police Department,WA,2001-03-07,Cause of Death: Gunfire,NA,2001
Deputy Sheriff Angelic Suzette Garcia,"Bernalillo County Sheriff's Department, NM",Bernalillo County Sheriff's Department,NM,2001-03-04,Cause of Death: Automobile crash,NA,2001
"Border Patrol Agent Daniel Miles James, Jr.","United States Department of Justice - Immigration and Naturalization Service - United States Border Patrol, US",United States Department of Justice - Immigration and Naturalization Service - United States Border Patrol,US,2001-03-03,Cause of Death: Automobile crash,Location: Texas,2001
Deputy Sheriff Samuel F. Smith,"Crawford County Sheriff's Office, GA",Crawford County Sheriff's Office,GA,2001-03-02,Cause of Death: Heart attack,NA,2001
Deputy Sheriff Glenn Randall Chancellor,"Jones County Sheriff's Department, MS",Jones County Sheriff's Department,MS,2001-02-28,Cause of Death: Vehicular assault,NA,2001
Police Officer Jose Perez-Hernandez,"Puerto Rico Police Department, PR",Puerto Rico Police Department,PR,2001-02-21,Cause of Death: Gunfire,NA,2001
Officer Richard L. Vauris,"Clinton Township Police Department, MI",Clinton Township Police Department,MI,2001-02-19,Cause of Death: Gunfire,NA,2001
Chief Deputy Nathan Ralph Murphy,"Oregon County Sheriff's Department, MO",Oregon County Sheriff's Department,MO,2001-02-19,Cause of Death: Vehicular assault,NA,2001
Police Officer Alexis Martinez-Pacheco,"Puerto Rico Police Department, PR",Puerto Rico Police Department,PR,2001-02-18,Cause of Death: Gunfire,NA,2001
"Deputy Sheriff James Michael Salvino, Jr.","Cuyahoga County Sheriff's Department, OH",Cuyahoga County Sheriff's Department,OH,2001-02-17,Cause of Death: Automobile crash,NA,2001
Sergeant Robert Alton Guilliams,"Missouri State Highway Patrol, MO",Missouri State Highway Patrol,MO,2001-02-16,Cause of Death: Automobile crash,NA,2001
Deputy Sheriff Keith George Ruiz,"Travis County Sheriff's Office, TX",Travis County Sheriff's Office,TX,2001-02-15,Cause of Death: Gunfire,NA,2001
Trooper Herbert James Smith,"Arkansas State Police, AR",Arkansas State Police,AR,2001-02-14,Cause of Death: Automobile crash,NA,2001
Deputy Sheriff Brandan Garrett Hinkle,"Los Angeles County Sheriff's Department, CA",Los Angeles County Sheriff's Department,CA,2001-02-14,Cause of Death: Motorcycle crash,NA,2001
Deputy Sheriff Jason Charles Schwenz,"Queen Anne's County Sheriff's Office, MD",Queen Anne's County Sheriff's Office,MD,2001-02-13,Cause of Death: Gunfire,NA,2001
Police Officer Michael Scott Nickerson,"Centreville Police Department, MD",Centreville Police Department,MD,2001-02-13,Cause of Death: Gunfire,NA,2001
Police Officer Scott Matthew Baird,"Gainesville Police Department, FL",Gainesville Police Department,FL,2001-02-12,Cause of Death: Struck by vehicle,NA,2001
Corporal Frances Marie Collender,"Delaware State Police, DE",Delaware State Police,DE,2001-02-06,Cause of Death: Struck by vehicle,NA,2001
"Patrolman John Anthony ""Rocky"" Riojas","San Antonio Police Department, TX",San Antonio Police Department,TX,2001-02-03,Cause of Death: Gunfire,NA,2001
Correction Officer Wayne Mitchell,"Ohio Department of Rehabilitation and Correction, OH",Ohio Department of Rehabilitation and Correction,OH,2001-02-02,Cause of Death: Automobile crash,NA,2001
Deputy Sheriff Vance Howard Clements,"Gregg County Sheriff's Office, TX",Gregg County Sheriff's Office,TX,2001-02-01,Cause of Death: Automobile crash,NA,2001
"Deputy Sheriff John Lewis Burkett, III","Berkeley County Sheriff's Department, WV",Berkeley County Sheriff's Department,WV,2001-01-31,Cause of Death: Automobile crash,Location: Pennsylvania,2001
Trooper Jason Lee Manspeaker,"Colorado State Patrol, CO",Colorado State Patrol,CO,2001-01-23,Cause of Death: Automobile crash,NA,2001
Corporal Alfredo Banos,"Lee County Sheriff's Office, FL",Lee County Sheriff's Office,FL,2001-01-20,Cause of Death: Automobile crash,NA,2001
"Detective Doug Jacobs, III","Riverside Police Department, CA",Riverside Police Department,CA,2001-01-13,Cause of Death: Gunfire,NA,2001
Detective William Alberto Wilkins,"Oakland Police Department, CA",Oakland Police Department,CA,2001-01-12,Cause of Death: Gunfire (Inadvertent),NA,2001
Officer Dennis E. Holmes,"Houston Police Department, TX",Houston Police Department,TX,2001-01-10,Cause of Death: Heart attack,NA,2001
"Trooper John Henry Duncan, Jr.","North Carolina Highway Patrol, NC",North Carolina Highway Patrol,NC,2001-01-09,Cause of Death: Vehicle pursuit,NA,2001
